max1,min1,mid1,amp1,max2,min2,mid2,amp2,max3,min3,mid3,amp3,max4,min4,mid4,amp4,max5,min5,mid5,amp5,max6,min6,mid6,amp6
0.708,-0.434,0.274,1.142,0.928,-0.169,0.759,1.097,1.058,-0.204,0.854,1.262,1.079,-0.206,0.873,1.285,0.884,-0.504,0.38,1.388,0.858,-0.55,0.308,1.408
0.596,-0.468,0.128,1.064,0.803,-0.286,0.517,1.089,0.946,-0.306,0.64,1.252,0.992,-0.405,0.587,1.397,0.858,-0.607,0.251,1.465,0.83,-0.595,0.235,1.425
0.903,-0.416,0.487,1.319,1.024,-0.584,0.44,1.608,0.814,-0.652,0.162,1.466,0.886,-0.548,0.338,1.434,0.083,0.08,0.163,0.003,0.064,0.059,0.123,0.005
0.82,-0.463,0.357,1.283,0.976,-0.518,0.458,1.494,0.805,-0.574,0.231,1.379,0.814,-0.548,0.266,1.362,0.063,0.058,0.121,0.005,0.049,0.045,0.094,0.004
0.799,-0.562,0.237,1.361,0.896,-0.576,0.32,1.472,0.904,-0.658,0.246,1.562,0.85,-0.608,0.242,1.458,0.047,0.042,0.089,0.005,0.037,0.032,0.069,0.005
0.784,-0.48,0.304,1.264,0.907,-0.589,0.318,1.496,0.877,-0.734,0.143,1.611,0.85,-0.705,0.145,1.555,0.036,0.033,0.069,0.003,0.029,0.025,0.054,0.004
0.658,-0.589,0.069,1.247,0.712,-0.754,-0.042,1.466,0.71,-0.75,-0.04,1.46,0.714,-0.76,-0.046,1.474,0.03,0.025,0.055,0.005,0.022,0.018,0.04,0.004
0.59,-0.583,0.007,1.173,0.628,-0.486,0.142,1.114,0.724,-0.656,0.068,1.38,0.842,-0.691,0.151,1.533,0.698,-0.666,0.032,1.364,0.759,-0.754,0.005,1.513
0.75,-0.591,0.159,1.341,0.779,-0.622,0.157,1.401,0.77,-0.714,0.056,1.484,0.826,-0.738,0.088,1.564,0.017,0.013,0.03,0.004,0.013,0.011,0.024,0.002
0.681,-0.64,0.041,1.321,0.832,-0.78,0.052,1.612,0.704,-0.745,-0.041,1.449,0.728,-0.747,-0.019,1.475,0.015,0.009,0.024,0.006,0.011,0.008,0.019,0.003
0.011,0.006,0.017,0.005,0.008,0.004,0.012,0.004,0.636,-0.528,0.108,1.164,0.576,-0.585,-0.009,1.161,0.578,-0.684,-0.106,1.262,0.658,-0.707,-0.049,1.365
0.673,-0.63,0.043,1.303,0.801,-0.709,0.092,1.51,0.866,-0.788,0.078,1.654,0.822,-0.666,0.156,1.488,0.01,0.004,0.014,0.006,0.007,0.003,0.01,0.004
0.663,-0.636,0.027,1.299,0.756,-0.731,0.025,1.487,0.671,-0.831,-0.16,1.502,0.704,-0.744,-0.04,1.448,0.007,0.002,0.009,0.005,0.006,0.003,0.009,0.003
0.564,-0.67,-0.106,1.234,0.557,-0.593,-0.036,1.15,0.64,-0.61,0.03,1.25,0.68,-0.728,-0.048,1.408,0.72,-0.784,-0.064,1.504,0.716,-0.676,0.04,1.392
0.004,0.001,0.005,0.003,0.006,-0.002,0.004,0.008,0.645,-0.602,0.043,1.247,0.6,-0.617,-0.017,1.217,0.685,-0.603,0.082,1.288,0.696,-0.716,-0.02,1.412
0.868,-0.705,0.163,1.573,0.797,-0.704,0.093,1.501,0.004,0.001,0.005,0.003,0.003,-0.002,0.001,0.005,0.636,-0.571,0.065,1.207,0.511,-0.54,-0.029,1.051
0.654,-0.615,0.039,1.269,0.753,-0.83,-0.077,1.583,0.811,-0.732,0.079,1.543,0.802,-0.749,0.053,1.551,0.003,-0.004,-0.001,0.007,0.003,-0.003,0.0,0.006
0.56,-0.508,0.052,1.068,0.612,-0.48,0.132,1.092,0.671,-0.619,0.052,1.29,0.794,-0.67,0.124,1.464,0.764,-0.634,0.13,1.398,0.732,-0.69,0.042,1.422
0.708,-0.69,0.018,1.398,0.764,-0.742,0.022,1.506,0.002,-0.003,-0.001,0.005,0.003,-0.002,0.001,0.005,0.486,-0.568,-0.082,1.054,0.596,-0.556,0.04,1.152
0.596,-0.737,-0.141,1.333,0.746,-0.788,-0.042,1.534,0.75,-0.708,0.042,1.458,0.704,-0.717,-0.013,1.421,0.001,-0.003,-0.002,0.004,0.003,-0.002,0.001,0.005
0.556,-0.678,-0.122,1.234,0.672,-0.788,-0.116,1.46,0.787,-0.75,0.037,1.537,0.726,-0.7,0.026,1.426,0.004,-0.002,0.002,0.006,0.003,-0.003,0.0,0.006
0.48,-0.567,-0.087,1.047,0.564,-0.615,-0.051,1.179,0.614,-0.638,-0.024,1.252,0.646,-0.65,-0.004,1.296,0.714,-0.723,-0.009,1.437,0.71,-0.64,0.07,1.35
0.526,-0.605,-0.079,1.131,0.734,-0.723,0.011,1.457,0.809,-0.709,0.1,1.518,0.73,-0.705,0.025,1.435,0.002,-0.003,-0.001,0.005,0.003,-0.002,0.001,0.005
0.61,-0.67,-0.06,1.28,0.566,-0.734,-0.168,1.3,0.71,-0.832,-0.122,1.542,0.754,-0.728,0.026,1.482,0.002,-0.004,-0.002,0.006,0.003,-0.003,0.0,0.006
0.544,-0.536,0.008,1.08,0.664,-0.711,-0.047,1.375,0.606,-0.798,-0.192,1.404,0.758,-0.849,-0.091,1.607,0.002,-0.004,-0.002,0.006,0.002,-0.004,-0.002,0.006
