max1,min1,mid1,amp1,max2,min2,mid2,amp2,max3,min3,mid3,amp3,max4,min4,mid4,amp4,max5,min5,mid5,amp5,max6,min6,mid6,amp6
0.146,0.14,0.286,0.006,0.11,0.104,0.214,0.006,0.911,-0.574,0.337,1.485,0.992,-0.292,0.7,1.284,1.256,-0.402,0.854,1.658,1.581,-0.67,0.911,2.251
1.123,-0.586,0.537,1.709,1.518,-0.934,0.584,2.452,1.448,-1.1,0.348,2.548,1.153,-0.962,0.191,2.115,0.11,0.103,0.213,0.007,0.083,0.078,0.161,0.005
1.052,-0.6,0.452,1.652,1.39,-1.018,0.372,2.408,1.343,-1.151,0.192,2.494,1.123,-0.88,0.243,2.003,0.084,0.079,0.163,0.005,0.063,0.059,0.122,0.004
0.952,-0.592,0.36,1.544,1.431,-0.995,0.436,2.426,1.352,-1.146,0.206,2.498,1.107,-1.016,0.091,2.123,0.064,0.059,0.123,0.005,0.049,0.045,0.094,0.004
0.844,-0.692,0.152,1.536,1.27,-1.044,0.226,2.314,1.318,-1.147,0.171,2.465,1.082,-0.995,0.087,2.077,0.048,0.043,0.091,0.005,0.036,0.033,0.069,0.003
0.903,-0.815,0.088,1.718,1.298,-1.13,0.168,2.428,1.319,-1.274,0.045,2.593,1.078,-0.997,0.081,2.075,0.04,0.033,0.073,0.007,0.029,0.025,0.054,0.004
0.755,-0.717,0.038,1.472,0.734,-0.51,0.224,1.244,0.872,-0.747,0.125,1.619,1.284,-1.228,0.056,2.512,1.313,-1.25,0.063,2.563,1.066,-1.036,0.03,2.102
0.698,-0.6,0.098,1.298,0.805,-0.824,-0.019,1.629,1.23,-1.222,0.008,2.452,1.325,-1.268,0.057,2.593,1.004,-1.074,-0.07,2.078,0.022,0.018,0.04,0.004
1.256,-1.24,0.016,2.496,1.087,-1.056,0.031,2.143,0.017,0.012,0.029,0.005,0.013,0.009,0.022,0.004,0.628,-0.735,-0.107,1.363,0.673,-0.682,-0.009,1.355
0.978,-0.796,0.182,1.774,1.383,-1.149,0.234,2.532,1.352,-1.262,0.09,2.614,1.092,-1.127,-0.035,2.219,0.015,0.011,0.026,0.004,0.011,0.006,0.017,0.005
0.753,-0.698,0.055,1.451,0.681,-0.591,0.09,1.272,0.887,-0.8,0.087,1.687,1.234,-1.1,0.134,2.334,1.321,-1.184,0.137,2.505,1.145,-1.095,0.05,2.24
0.784,-0.851,-0.067,1.635,1.286,-1.246,0.04,2.532,1.298,-1.286,0.012,2.584,1.06,-1.08,-0.02,2.14,0.009,0.004,0.013,0.005,0.008,0.004,0.012,0.004
1.342,-1.304,0.038,2.646,1.099,-1.042,0.057,2.141,0.007,0.002,0.009,0.005,0.003,-0.001,0.002,0.004,0.671,-0.754,-0.083,1.425,0.594,-0.693,-0.099,1.287
0.799,-0.82,-0.021,1.619,1.254,-1.3,-0.046,2.554,1.238,-1.351,-0.113,2.589,1.08,-1.142,-0.062,2.222,0.004,0.002,0.006,0.002,0.004,0.001,0.005,0.003
1.373,-1.347,0.026,2.72,1.218,-1.107,0.111,2.325,0.006,0.003,0.009,0.003,0.004,-0.001,0.003,0.005,0.782,-0.712,0.07,1.494,0.651,-0.597,0.054,1.248
0.868,-0.772,0.096,1.64,1.157,-1.214,-0.057,2.371,1.156,-1.335,-0.179,2.491,1.111,-1.044,0.067,2.155,0.001,-0.004,-0.003,0.005,0.004,0.0,0.004,0.004
0.708,-0.632,0.076,1.34,0.656,-0.656,0.0,1.312,0.794,-0.812,-0.018,1.606,1.302,-1.166,0.136,2.468,1.416,-1.23,0.186,2.646,1.146,-1.067,0.079,2.213
0.706,-0.752,-0.046,1.458,0.586,-0.674,-0.088,1.26,0.801,-0.91,-0.109,1.711,1.158,-1.242,-0.084,2.4,1.264,-1.288,-0.024,2.552,1.058,-1.127,-0.069,2.185
0.856,-0.876,-0.02,1.732,1.218,-1.176,0.042,2.394,1.411,-1.238,0.173,2.649,1.076,-1.105,-0.029,2.181,0.004,-0.002,0.002,0.006,0.002,-0.003,-0.001,0.005
0.798,-0.846,-0.048,1.644,1.28,-1.26,0.02,2.54,1.332,-1.226,0.106,2.558,1.131,-1.073,0.058,2.204,0.003,-0.002,0.001,0.005,0.003,-0.001,0.002,0.004
0.767,-0.852,-0.085,1.619,1.254,-1.216,0.038,2.47,1.3,-1.375,-0.075,2.675,1.145,-1.06,0.085,2.205,0.004,-0.001,0.003,0.005,0.002,-0.002,0.0,0.004
0.832,-0.867,-0.035,1.699,1.23,-1.298,-0.068,2.528,1.274,-1.294,-0.02,2.568,1.072,-1.126,-0.054,2.198,0.002,-0.004,-0.002,0.006,0.002,-0.004,-0.002,0.006
0.782,-0.912,-0.13,1.694,1.248,-1.224,0.024,2.472,1.335,-1.383,-0.048,2.718,1.096,-1.11,-0.014,2.206,0.002,-0.003,-0.001,0.005,0.003,-0.003,0.0,0.006
0.876,-0.826,0.05,1.702,1.2,-1.276,-0.076,2.476,1.329,-1.28,0.049,2.609,1.132,-1.067,0.065,2.199,0.002,-0.003,-0.001,0.005,0.003,-0.002,0.001,0.005
0.814,-0.842,-0.028,1.656,1.167,-1.316,-0.149,2.483,1.332,-1.319,0.013,2.651,1.124,-1.093,0.031,2.217,0.003,-0.004,-0.001,0.007,0.003,-0.002,0.001,0.005
0.682,-0.713,-0.031,1.395,0.576,-0.622,-0.046,1.198,0.783,-0.786,-0.003,1.569,1.248,-1.21,0.038,2.458,1.306,-1.28,0.026,2.586,1.089,-1.109,-0.02,2.198
0.753,-0.827,-0.074,1.58,1.25,-1.22,0.03,2.47,1.286,-1.262,0.024,2.548,1.048,-1.058,-0.01,2.106,0.001,-0.004,-0.003,0.005,0.003,-0.002,0.001,0.005
0.732,-0.746,-0.014,1.478,0.592,-0.584,0.008,1.176,0.84,-0.8,0.04,1.64,1.236,-1.202,0.034,2.438,1.376,-1.238,0.138,2.614,1.169,-1.044,0.125,2.213
0.852,-0.856,-0.004,1.708,1.218,-1.218,0.0,2.436,1.361,-1.361,0.0,2.722,1.119,-1.106,0.013,2.225,0.001,-0.004,-0.003,0.005,0.0,-0.004,-0.004,0.004
0.834,-0.7,0.134,1.534,1.314,-1.194,0.12,2.508,1.418,-1.236,0.182,2.654,1.149,-1.046,0.103,2.195,0.001,-0.004,-0.003,0.005,0.002,-0.004,-0.002,0.006
0.852,-0.808,0.044,1.66,1.224,-1.212,0.012,2.436,1.374,-1.349,0.025,2.723,1.202,-1.054,0.148,2.256,-0.001,-0.004,-0.005,0.003,0.003,-0.002,0.001,0.005
0.748,-0.648,0.1,1.396,0.625,-0.602,0.023,1.227,0.796,-0.8,-0.004,1.596,1.326,-1.224,0.102,2.55,1.356,-1.226,0.13,2.582,1.25,-1.054,0.196,2.304
1.362,-1.22,0.142,2.582,1.134,-1.072,0.062,2.206,0.002,-0.003,-0.001,0.005,0.001,-0.004,-0.003,0.005,0.71,-0.662,0.048,1.372,0.602,-0.662,-0.06,1.264
0.795,-0.766,0.029,1.561,1.296,-1.142,0.154,2.438,1.306,-1.264,0.042,2.57,1.131,-1.072,0.059,2.203,0.003,-0.004,-0.001,0.007,0.003,-0.001,0.002,0.004
0.781,-0.764,0.017,1.545,1.278,-1.137,0.141,2.415,1.391,-1.278,0.113,2.669,1.157,-1.108,0.049,2.265,0.001,-0.004,-0.003,0.005,0.003,-0.003,0.0,0.006
0.751,-0.878,-0.127,1.629,1.188,-1.248,-0.06,2.436,1.266,-1.242,0.024,2.508,1.115,-1.058,0.057,2.173,0.002,-0.004,-0.002,0.006,0.004,-0.001,0.003,0.005
0.744,-0.81,-0.066,1.554,1.302,-1.183,0.119,2.485,1.39,-1.256,0.134,2.646,1.118,-1.153,-0.035,2.271,0.003,-0.002,0.001,0.005,0.002,-0.003,-0.001,0.005
0.646,-0.623,0.023,1.269,0.822,-0.81,0.012,1.632,1.206,-1.212,-0.006,2.418,1.28,-1.284,-0.004,2.564,1.17,-1.084,0.086,2.254,0.001,-0.004,-0.003,0.005
1.366,-1.306,0.06,2.672,1.034,-1.058,-0.024,2.092,0.001,-0.004,-0.003,0.005,0.001,-0.004,-0.003,0.005,0.696,-0.638,0.058,1.334,0.586,-0.572,0.014,1.158
0.762,-0.836,-0.074,1.598,1.268,-1.266,0.002,2.534,1.376,-1.332,0.044,2.708,1.172,-1.178,-0.006,2.35,0.002,-0.004,-0.002,0.006,0.002,-0.003,-0.001,0.005
1.274,-1.323,-0.049,2.597,1.079,-1.024,0.055,2.103,0.002,-0.004,-0.002,0.006,0.002,-0.003,-0.001,0.005,0.682,-0.714,-0.032,1.396,0.672,-0.707,-0.035,1.379
0.798,-0.792,0.006,1.59,1.21,-1.23,-0.02,2.44,1.294,-1.264,0.03,2.558,1.032,-1.106,-0.074,2.138,0.002,-0.003,-0.001,0.005,0.003,-0.002,0.001,0.005
1.22,-1.179,0.041,2.399,1.334,-1.264,0.07,2.598,1.084,-1.071,0.013,2.155,0.001,-0.004,-0.003,0.005,0.002,-0.003,-0.001,0.005,0.778,-0.618,0.16,1.396
