max1,min1,mid1,amp1,max2,min2,mid2,amp2,max3,min3,mid3,amp3,max4,min4,mid4,amp4,max5,min5,mid5,amp5,max6,min6,mid6,amp6
1.62,-0.796,0.824,2.416,1.908,-1.188,0.72,3.096,1.502,-1.11,0.392,2.612,1.183,-0.817,0.366,2.0,0.145,0.14,0.285,0.005,0.108,0.103,0.211,0.005
1.574,-0.871,0.703,2.445,1.738,-1.286,0.452,3.024,1.385,-1.272,0.113,2.657,1.131,-0.896,0.235,2.027,0.111,0.105,0.216,0.006,0.083,0.077,0.16,0.006
1.334,-0.964,0.37,2.298,1.653,-1.304,0.349,2.957,1.337,-1.164,0.173,2.501,1.06,-0.882,0.178,1.942,0.085,0.08,0.165,0.005,0.065,0.059,0.124,0.006
0.065,0.06,0.125,0.005,0.048,0.044,0.092,0.004,0.732,-0.684,0.048,1.416,0.922,-0.72,0.202,1.642,1.254,-0.973,0.281,2.227,1.588,-1.276,0.312,2.864
1.575,-1.405,0.17,2.98,1.327,-1.28,0.047,2.607,1.02,-1.022,-0.002,2.042,0.049,0.045,0.094,0.004,0.038,0.034,0.072,0.004,0.83,-0.815,0.015,1.645
1.3,-1.046,0.254,2.346,1.583,-1.411,0.172,2.994,1.31,-1.208,0.102,2.518,1.044,-0.916,0.128,1.96,0.038,0.034,0.072,0.004,0.029,0.024,0.053,0.005
1.254,-1.02,0.234,2.274,1.599,-1.348,0.251,2.947,1.389,-1.194,0.195,2.583,1.028,-0.914,0.114,1.942,0.031,0.025,0.056,0.006,0.023,0.019,0.042,0.004
1.244,-1.192,0.052,2.436,1.538,-1.367,0.171,2.905,1.381,-1.236,0.145,2.617,0.958,-0.924,0.034,1.882,0.021,0.018,0.039,0.003,0.018,0.014,0.032,0.004
1.141,-1.136,0.005,2.277,1.532,-1.464,0.068,2.996,1.278,-1.343,-0.065,2.621,0.903,-1.076,-0.173,1.979,0.019,0.014,0.033,0.005,0.014,0.009,0.023,0.005
1.246,-1.204,0.042,2.45,1.43,-1.565,-0.135,2.995,1.194,-1.28,-0.086,2.474,0.974,-1.004,-0.03,1.978,0.013,0.009,0.022,0.004,0.01,0.005,0.015,0.005
0.644,-0.788,-0.144,1.432,0.714,-0.862,-0.148,1.576,1.132,-1.159,-0.027,2.291,1.488,-1.522,-0.034,3.01,1.171,-1.36,-0.189,2.531,0.903,-1.048,-0.145,1.951
1.246,-1.208,0.038,2.454,0.928,-0.956,-0.028,1.884,0.007,0.004,0.011,0.003,0.008,0.004,0.012,0.004,0.714,-0.708,0.006,1.422,0.798,-0.778,0.02,1.576
1.127,-1.153,-0.026,2.28,1.45,-1.508,-0.058,2.958,1.117,-1.276,-0.159,2.393,0.868,-1.018,-0.15,1.886,0.006,0.003,0.009,0.003,0.005,0.002,0.007,0.003
1.183,-1.089,0.094,2.272,1.552,-1.407,0.145,2.959,1.34,-1.208,0.132,2.548,1.098,-0.906,0.192,2.004,0.005,0.002,0.007,0.003,0.004,0.001,0.005,0.003
