max1,min1,mid1,amp1,max2,min2,mid2,amp2,max3,min3,mid3,amp3,max4,min4,mid4,amp4,max5,min5,mid5,amp5,max6,min6,mid6,amp6
0.803,-0.952,-0.149,1.755,0.826,-0.796,0.03,1.622,0.003,-0.004,-0.001,0.007,0.001,-0.004,-0.003,0.005,0.531,-0.733,-0.202,1.264,0.616,-0.585,0.031,1.201
0.578,-0.548,0.03,1.126,0.661,-0.78,-0.119,1.441,0.608,-0.85,-0.242,1.458,0.627,-0.847,-0.22,1.474,0.001,-0.004,-0.003,0.005,0.001,-0.004,-0.003,0.005
0.596,-0.75,-0.154,1.346,0.629,-0.747,-0.118,1.376,0.72,-0.764,-0.044,1.484,0.76,-0.684,0.076,1.444,0.004,-0.002,0.002,0.006,0.003,-0.002,0.001,0.005
1.05,-1.39,-0.34,2.44,0.748,-1.111,-0.363,1.859,1.006,-1.206,-0.2,2.212,1.418,-1.375,0.043,2.793,1.466,-1.998,-0.532,3.464,1.538,-1.842,-0.304,3.38
0.771,-1.548,-0.777,2.319,1.032,-1.902,-0.87,2.934,0.992,-2.016,-1.024,3.008,0.958,-1.5,-0.542,2.458,0.002,-0.004,-0.002,0.006,0.001,-0.003,-0.002,0.004
0.86,-0.722,0.138,1.582,0.576,-0.848,-0.272,1.424,0.706,-0.886,-0.18,1.592,0.803,-0.816,-0.013,1.619,0.931,-0.65,0.281,1.581,0.767,-0.697,0.07,1.464
0.903,-0.646,0.257,1.549,0.824,-0.672,0.152,1.496,0.761,-0.821,-0.06,1.582,0.895,-0.914,-0.019,1.809,0.002,-0.004,-0.002,0.006,0.002,-0.003,-0.001,0.005
0.672,-0.472,0.2,1.144,0.805,-0.516,0.289,1.321,0.85,-0.776,0.074,1.626,0.95,-0.856,0.094,1.806,0.003,-0.002,0.001,0.005,0.003,-0.003,0.0,0.006
0.661,-0.632,0.029,1.293,0.66,-0.546,0.114,1.206,0.671,-0.674,-0.003,1.345,0.786,-0.859,-0.073,1.645,0.99,-0.776,0.214,1.766,0.838,-0.846,-0.008,1.684
0.656,-0.542,0.114,1.198,0.667,-0.678,-0.011,1.345,0.744,-0.736,0.008,1.48,0.881,-0.849,0.032,1.73,0.001,-0.004,-0.003,0.005,0.002,-0.003,-0.001,0.005
0.55,-0.558,-0.008,1.108,0.616,-0.634,-0.018,1.25,0.681,-0.772,-0.091,1.453,0.742,-0.658,0.084,1.4,0.797,-0.756,0.041,1.553,0.788,-0.718,0.07,1.506
0.992,-0.719,0.273,1.711,1.066,-0.846,0.22,1.912,0.881,-0.866,0.015,1.747,0.763,-0.892,-0.129,1.655,-0.001,-0.004,-0.005,0.003,0.003,-0.003,0.0,0.006
0.728,-0.898,-0.17,1.626,0.905,-0.954,-0.049,1.859,0.776,-0.804,-0.028,1.58,0.78,-0.863,-0.083,1.643,0.002,-0.004,-0.002,0.006,0.003,-0.002,0.001,0.005
0.684,-0.838,-0.154,1.522,0.753,-0.696,0.057,1.449,0.938,-0.833,0.105,1.771,0.904,-0.884,0.02,1.788,0.758,-0.856,-0.098,1.614,0.788,-0.894,-0.106,1.682
