,pe11,pe12,pe13,pe14,pe15,pe16,,,,,,
count,100,100,100,100,100,100,,,,,,
mean,26.78957595,30.00326108,26.46090314,29.12483559,29.77755318,28.2462869,,,,,,
std,0.596962616,0.78157456,0.820861827,0.759424884,0.799458782,0.737805808,,,,,,
min,25.70928523,28.36357091,24.78742264,27.4361474,28.0488697,26.79206897,,,,,,
25%,26.22573995,29.38850131,25.83792526,28.59774776,29.20738417,27.84922682,,,,,,
50%,26.87706507,29.90967169,26.52764093,29.11249492,29.70854559,28.18520104,,,,,,
75%,27.26593773,30.59634601,26.9642308,29.70920719,30.34045959,28.92643255,,,,,,
max,28.15507717,31.67862372,28.36545606,31.134823,31.76070156,29.72474342,,,,,,
,,,,,,,,,,,,
max of mean,30.00326108,30.00326108,30.00326108,30.00326108,30.00326108,30.00326108,,,,,,
scale,1.119960284,1,1.133871392,1.030160702,1.0075798,1.062201952,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
